Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
1355	AGUA CON ADITIVO 5L ROSA MATCH	$3380.00	$5500.00	$0.00	2.00	0.000	- Sin Departamento -
1358	AGUA CON ADITIVO 5L ROSA WANDER	$3510.00	$5600.00	$0.00	1.00	0.000	- Sin Departamento -
1359	AGUA DESMINERALIZADA 5L MATCH	$2450.00	$4000.00	$0.00	0.00	0.000	- Sin Departamento -
1881	AMORTIGUADOR 110 REGULABLE COLOR	$32000.00	$65000.00	$0.00	0.00	0.000	- Sin Departamento -
30047	AMORTIGUADOR 110 SMASH FAR	$31635.00	$52000.00	$0.00	9.00	0.000	- Sin Departamento -
1880	AMORTIGUADOR DE COLORES 110 	$30000.00	$60000.00	$0.00	2.00	0.000	- Sin Departamento -
 30088N	AMORTIGUADOR HONDA CG 150 TITAN ESD FAR	$28025.00	$60840.00	$0.00	4.00	0.000	- Sin Departamento -
1110	AMORTIGUADOR MONOSHOP NXR125/BROS/SKUA150	$76050.00	$121700.00	$0.00	2.00	0.000	- Sin Departamento -
30057	AMORTIGUADOR NEW WAVE FAR 	$35835.00	$58000.00	$0.00	4.00	0.000	- Sin Departamento -
 PG104600020	AMORTIGUADOR RX150 STORM PAG	$37170.00	$59500.00	$0.00	2.00	0.000	- Sin Departamento -
1003951	AMORTIGUADOR TRASERO 110 FORTE 	$32435.00	$47500.00	$0.00	0.00	0.000	- Sin Departamento -
 NWSHO	AMORTIGUADOR WAVE NEW ROJO 	$28890.00	$55000.00	$0.00	0.00	0.000	- Sin Departamento -
30049	AMORTIGUADOR YAMAHA CRYPTON 105	$38850.00	$58900.00	$0.00	0.00	0.000	- Sin Departamento -
1006533	AMORTIGUADOR YAMAHA NEW CRYPTON	$33150.00	$49700.00	$0.00	0.00	0.000	- Sin Departamento -
1003956	AMORTIGUADOR YBR 125 FORTE	$28680.00	$46000.00	$0.00	2.00	0.000	- Sin Departamento -
 30051N	AMORTIGUADOR ZANELA RX 150 MONDIAL RD FAR	$35750.00	$57200.00	$0.00	1.00	0.000	- Sin Departamento -
1819	ANTIPARRA UNIVERSAL AZUL/NEGRA/ROJA	$6080.00	$9800.00	$0.00	5.00	0.000	- Sin Departamento -
1828	ANTIPARRAS FOZ¡X 100% CROSS	$12000.00	$25000.00	$0.00	2.00	0.000	- Sin Departamento -
